Date,Available Bytes(kb),Committed Bytes(kb),Cache Bytes(kb),Buffer Bytes(kb),Swap Available Bytes(kb),% Processor Time,Connections Established,Connection Failures,Connections Reset,Segments/sec,Segments Retransmitted/sec,Install Dir Free Space,% Disk Time,Avg. Disk Queue Length,Avg. Disk Bytes/Transfer(kb),Avg Load 1 min,Avg Load 5 min,Avg Load 15 min,Handle Count,% Idle Time,% IO Wait Time
2018-12-08 00:00:00,1716252,5171855,44580,-1,-1,0,17,7,1098,0,0,-1,0,0,0,0.10,0.14,0.14,30733,93,-1
2018-12-08 00:01:00,1711833,5177729,44683,-1,-1,0,17,7,1099,0,0,-1,0,0,0,0.25,0.15,0.15,30677,96,-1
2018-12-08 00:02:00,1709281,5178617,45109,-1,-1,3,21,7,1099,21,0,-1,0,0,10,0.10,0.13,0.14,30690,97,-1
2018-12-08 00:03:00,1709391,5179723,45350,-1,-1,16,20,7,1099,0,0,-1,13,0,7,0.30,0.18,0.15,30777,74,-1
2018-12-08 00:04:00,1710768,5176451,45371,-1,-1,1,18,7,1101,0,0,-1,0,0,4,0.10,0.17,0.16,30204,96,-1
2018-12-08 00:05:00,1713127,5172215,45133,-1,-1,1,17,7,1101,0,0,-1,0,0,0,0.20,0.19,0.16,30459,91,-1
2018-12-08 00:06:00,1713156,5173768,43945,-1,-1,0,17,7,1101,0,0,-1,0,0,0,0.15,0.17,0.17,30287,91,-1
2018-12-08 00:07:00,1712390,5174595,44253,-1,-1,4,19,7,1101,27,0,-1,0,0,7,0.20,0.19,0.16,30344,97,-1
2018-12-08 00:08:00,1713586,5173846,43970,-1,-1,1,19,7,1101,0,0,-1,0,0,0,0.10,0.15,0.16,30326,93,-1
2018-12-08 00:09:00,1712918,5172502,43225,-1,-1,0,17,7,1102,0,0,-1,0,0,0,0.15,0.16,0.16,30081,96,-1
2018-12-08 00:10:00,1715146,5173088,42790,-1,-1,0,16,7,1102,0,0,-1,0,0,0,0.10,0.14,0.16,30166,92,-1
2018-12-08 00:11:00,1713618,5174263,43311,-1,-1,0,16,7,1102,0,0,-1,0,0,16,0.15,0.14,0.15,30145,55,-1
2018-12-08 00:12:00,1709608,5175320,43655,-1,-1,0,19,7,1102,27,0,-1,0,0,0,0.10,0.12,0.15,30434,98,-1
